pod,namespace,service,window_end,error_rate,log_volume,unique_error_types,cpu_millicores,memory_mi,error_rate_delta,log_volume_delta
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T10:12:30Z,0.0,75,0,1.09,32.63,0.0,75
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T10:12:30Z,0.0,54,0,1.61,32.52,0.0,54
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T10:12:30Z,0.0,85,0,1.76,34.3,0.0,85
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T10:12:30Z,0.0,70,0,0.8,27.51,0.0,70
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T10:12:31Z,0.0,80,0,1.16,34.71,0.0,80
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T10:12:31Z,0.0,32,0,1.51,26.7,0.0,32
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T10:12:31Z,0.0,45,0,1.26,32.81,0.0,45
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T10:13:36Z,0.0,82,0,1.0,32.62,0.0,7
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T10:13:36Z,0.0,33,0,1.54,32.52,0.0,-21
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T10:13:36Z,0.0,95,0,1.36,34.3,0.0,10
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T10:13:36Z,0.0,62,0,0.88,27.51,0.0,-8
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T10:13:36Z,0.0,65,0,1.6,34.71,0.0,-15
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T10:13:36Z,0.0,32,0,1.53,26.7,0.0,0
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T10:13:36Z,0.0,63,0,1.45,32.84,0.0,18
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T10:14:42Z,0.0,58,0,1.03,32.62,0.0,-24
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T10:14:42Z,0.0,51,0,1.26,32.54,0.0,18
